Species,FishbaseV,Fishbase vuln category,PSA V
Atrosalarias fuscus,10,Low,0.67
Paracheilinus cyaneus,10,Low,0.76
Chaetodon collare,10,Low,0.57
Oxymonacanthus longirostris,10,Low,1.12
Parupeneus cyclostomus,40,Moderate,1.05
Chaetodon ephippium,20,Low,1.20
Acanthurus coeruleus,59,High,0.68
Pomacentrus philippinus,10,Low,0.47
Coris formosa,44,Moderate,0.87
Macropharyngodon bipartitus,10,Low,0.57
Stonogobiops nematodes,10,Low,0.65
Arothron hispidus,40,Moderate,0.87
Monodactylus argenteus,23,Low,0.57
Cirrhilabrus flavidorsalis,10,Low,0.65
Gnathanodon speciosus,38,Moderate,1.20
Dendrochirus biocellatus,10,Low,0.93
Chiloscyllium punctatum,79,Very high,1.82
Hoplolatilus purpureus,10,Low,0.93
Pseudocheilinus ocellatus,10,Low,0.75
Plectroglyphidodon lacrymatus,10,Low,0.57
Valenciennea helsdingenii,15,Low,0.40
Microspathodon chrysurus,11,Low,0.51
Pomacanthus xanthometopon,28,Low to moderate,1.12
Ptereleotris microlepis,10,Low,0.40
Dischistodus prosopotaenia,10,Low,0.33
Pseudanthias randalli,10,Low,0.47
Holacanthus ciliaris,35,Low to moderate,0.57
Cirrhitichthys aprinus,10,Low,0.46
Dischistodus pseudochrysopoecilus,10,Low,0.45
Serranus tigrinus,22,Low,0.40
Cetoscarus bicolor,34,Low to moderate,0.75
Nemateleotris helfrichi,10,Low,0.51
Acanthurus olivaceus,18,Low,0.89
Paragobiodon lacunicolus,10,Low,0.74
Meiacanthus grammistes,10,Low,0.47
Cirrhilabrus filamentosus,10,Low,0.56
Pervagor melanocephalus,10,Low,1.24
Amphiprion akindynos,10,Low,0.77
Amphiprion akallopisos,10,Low,0.67
Rhinomuraena quaesita,78,Very high,1.51
Macropharyngodon ornatus,10,Low,0.57
Hemigymnus melapterus,30,Low to moderate,1.23
Siganus unimaculatus,14,Low,0.81
Salarias guttatus,10,Low,0.93
Zebrasoma desjardinii,30,Low to moderate,1.12
Pterois radiata,14,Low,0.75
Platax pinnatus,35,Low to moderate,1.09
Pseudochromis fridmani,10,Low,0.67
Acanthurus achilles,14,Low,0.51
Epinephelus lanceolatus,90,Very High ,0.72
Centropyge flavissima,10,Low,1.06
Zebrasoma flavescens,57,High,0.61
Pomacanthus annularis,35,Low to moderate,0.80
Valenciennea longipinnis,12,Low,0.78
Ostorhinchus margaritophorus,10,Low,0.89
Synchiropus sycorax,10,Low,0.81
Larabicus quadrilineatus,10,Low,1.00
Taeniura lymma,90,Very High ,1.15
Siganus uspi,14,Low,1.88
Synchiropus morrisoni,10,Low,1.01
Chrysiptera rollandi,10,Low,0.33
Gramma brasiliensis,10,Low,0.85
Atelomycterus marmoratus,48,Moderate to high,1.33
Chaetodon trifascialis,11,Low,1.75
Coryphopterus personatus,10,Low,0.80
Chaetodontoplus duboulayi,18,Low,0.92
Manonichthys polynemus,10,Low,0.99
Balistes vetula,54,Moderate to high,0.58
Amphiprion ephippium,10,Low,1.24
Gymnomuraena zebra,90,Very High ,1.29
Himantura uarnak,90,Very High ,1.85
Diodon liturosus,46,Moderate to high,1.07
Chaetodontoplus meredithi,15,Low,1.17
Aetobatus narinari,85,Very High ,1.33
Ecsenius tigris,10,Low,1.21
Malacanthus brevirostris,22,Low,1.24
Apolemichthys kingi,11,Low,1.00
Chiloscyllium plagiosum,36,Moderate,1.49
Ostorhinchus compressus,10,Low,1.76
Myrichthys colubrinus,59,High,1.47
Cirrhilabrus tonozukai,10,Low,1.44
Malacanthus latovittatus,42,Moderate,1.24
Stegostoma tigrinum,90,Very High,1.46
Centropyge potteri,10,Low,1.77
Echidna catenata,90,Very High,1.29
Platax batavianus,52,Moderate to high,0.94
Balistes punctatus,38,Moderate,1.03
Myrichthys maculosus,60,High,2.03
Callogobius amikami,10,Low,1.18
Acanthurus chronixis,18,Low,1.00
Naso tuberosus,33,Low to moderate,0.95
Prionurus chrysurus,27,Low to moderate,1.27
Centropyge deborae,10,Low,0.74
Chaetodontoplus caeruleopunctatus,10,Low,1.22
